Number,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
754148,02-07-19 15:50,26,27,23,44,76,36,71,33,1,68,21,55,75,6,53,72,11,60,77,39
754149,02-07-19 15:55,28,1,55,38,14,63,72,13,20,3,2,68,34,17,4,25,78,10,70,49
754150,02-07-19 16:00,43,37,36,2,59,45,31,42,6,48,7,35,29,8,47,49,14,3,26,20
754151,02-07-19 16:05,56,12,53,4,35,27,70,62,59,47,14,49,55,74,10,72,52,54,69,5
754152,02-07-19 16:10,14,25,19,46,69,53,72,45,7,50,62,79,42,67,12,74,41,76,24,65
754153,02-07-19 16:15,33,6,56,44,26,13,50,67,72,59,14,15,1,43,55,22,48,37,58,61
754154,02-07-19 16:20,10,30,4,41,44,59,51,80,2,57,52,58,48,23,71,5,13,14,56,54
754155,02-07-19 16:25,32,48,75,39,63,80,64,6,2,31,25,7,69,13,53,51,49,57,27,24
754156,02-07-19 16:30,3,70,49,71,18,40,41,73,23,1,16,46,22,9,11,78,74,48,63,8
754157,02-07-19 16:35,12,44,14,43,2,17,68,36,3,80,62,7,45,39,69,65,60,9,74,37
754158,02-07-19 16:40,14,61,67,77,62,43,22,78,10,72,58,11,65,69,74,57,12,6,45,35
754159,02-07-19 16:45,80,33,7,51,23,15,20,38,62,2,13,53,73,31,65,60,72,49,64,11
754160,02-07-19 16:50,13,71,5,76,46,39,2,1,61,19,22,41,72,54,20,30,50,7,59,79
754161,02-07-19 16:55,39,40,57,54,56,63,2,43,52,9,51,28,12,27,29,44,60,37,79,23
754162,02-07-19 17:00,68,77,70,9,7,69,6,21,37,36,31,18,63,54,80,32,10,74,65,14
754163,02-07-19 17:05,13,24,38,56,67,50,71,17,58,70,14,52,15,68,27,4,23,7,2,8
754164,02-07-19 17:10,40,64,58,14,70,56,73,39,37,68,15,61,43,76,51,62,13,57,78,6
754165,02-07-19 17:15,19,3,23,80,35,31,1,76,26,52,42,77,45,28,55,59,12,70,48,33
754166,02-07-19 17:20,47,1,43,45,12,46,61,5,29,23,50,27,65,11,67,42,78,6,17,71
754167,02-07-19 17:25,74,48,13,80,14,53,23,37,61,27,7,52,79,41,31,50,70,3,71,32
754168,02-07-19 17:30,77,72,22,45,62,28,64,3,56,34,40,9,29,65,32,78,11,31,80,33
754169,02-07-19 17:35,20,74,13,16,38,79,14,69,51,54,39,33,31,30,56,37,26,29,66,55
754170,02-07-19 17:40,18,70,32,26,76,75,17,63,36,55,52,61,80,27,13,19,66,53,40,42
754171,02-07-19 17:45,80,15,59,12,8,61,11,72,27,45,49,7,65,51,73,32,33,56,57,26
754172,02-07-19 17:50,72,20,70,43,76,44,26,64,15,74,21,51,49,24,30,7,32,77,27,31
754173,02-07-19 17:55,4,77,24,13,36,15,11,65,71,10,17,38,51,78,12,22,49,44,42,53
754174,02-07-19 18:00,70,75,17,48,20,1,52,62,39,68,15,4,2,78,76,30,13,50,31,22
754175,02-07-19 18:05,39,77,9,33,3,6,11,25,1,5,7,38,37,44,42,15,68,26,52,4
754176,02-07-19 18:10,56,34,11,50,42,70,59,21,25,27,76,5,73,62,67,7,33,68,64,60
754177,02-07-19 18:15,73,75,50,13,68,6,70,3,79,12,46,58,31,53,33,26,36,35,8,9
754178,02-07-19 18:20,8,16,50,41,34,55,63,69,37,25,17,73,10,9,74,40,70,2,76,65
754179,02-07-19 18:25,9,34,48,77,45,36,55,79,42,29,70,39,58,24,57,38,1,5,60,3
754180,02-07-19 18:30,70,4,54,50,39,77,42,36,8,61,46,58,17,66,68,43,67,74,2,60
754181,02-07-19 18:35,75,41,53,6,38,45,15,52,24,57,56,54,35,7,36,13,8,3,25,59
754182,02-07-19 18:40,22,76,37,51,26,17,61,1,68,8,78,44,21,19,36,57,29,54,4,20
754183,02-07-19 18:45,18,52,25,61,47,13,58,17,2,60,35,75,71,73,29,26,1,3,80,49
754184,02-07-19 18:50,14,28,71,16,24,30,3,51,38,5,46,61,19,23,44,62,37,68,11,79
754185,02-07-19 18:55,57,52,51,80,50,68,5,25,11,15,66,37,75,54,33,20,62,74,13,29
754186,02-07-19 19:00,28,43,57,47,23,16,59,72,64,25,1,26,27,74,19,31,2,56,53,77
754187,02-07-19 19:05,40,2,47,63,16,29,9,51,49,35,57,13,72,14,15,69,8,19,36,80
754188,02-07-19 19:10,32,24,71,33,25,14,72,29,64,54,40,5,1,66,9,57,65,46,67,3
754189,02-07-19 19:15,80,26,2,68,5,35,19,25,62,42,24,39,64,18,27,1,15,54,30,59
754190,02-07-19 19:20,66,20,70,37,11,31,48,17,40,61,25,10,15,24,73,62,26,41,45,35
754191,02-07-19 19:25,36,17,62,68,47,15,14,45,49,46,40,57,20,59,48,73,10,6,78,52
754192,02-07-19 19:30,28,71,31,23,46,57,76,27,58,64,44,47,17,6,59,78,60,48,13,77
754193,02-07-19 19:35,20,6,11,36,74,29,62,5,4,41,55,56,65,73,12,60,8,37,77,16
754194,02-07-19 19:40,3,60,48,28,19,4,61,14,2,22,1,33,70,27,67,36,66,34,35,59
754195,02-07-19 19:45,50,31,70,22,68,20,33,53,52,30,38,15,14,24,56,62,18,19,67,29
754196,02-07-19 19:50,73,28,34,76,65,52,24,22,75,4,38,49,70,55,39,19,37,20,1,2
754197,02-07-19 19:55,78,77,61,26,55,25,71,50,68,41,46,18,14,64,69,15,33,3,57,21
754198,02-07-19 20:00,72,21,46,6,11,76,3,53,34,57,68,24,37,27,44,62,1,4,78,75
754199,02-07-19 20:05,78,21,44,69,3,54,20,2,72,32,67,68,38,39,50,77,58,24,48,63
754200,02-07-19 20:10,30,24,80,79,54,61,45,44,1,75,78,42,7,71,49,53,77,27,16,76
754201,02-07-19 20:15,65,48,8,61,28,3,52,64,44,47,80,33,62,2,30,51,32,9,67,41
754202,02-07-19 20:20,20,55,9,12,25,56,37,6,21,50,23,32,69,78,53,35,71,38,43,68
754203,02-07-19 20:25,70,24,55,26,3,36,60,69,45,16,51,66,7,13,22,77,30,78,4,61
754204,02-07-19 20:30,49,48,10,60,37,4,5,38,16,25,62,56,45,76,1,13,58,21,32,18
754205,02-07-19 20:35,1,14,29,5,2,6,18,64,68,45,27,73,3,36,39,79,63,16,46,52
754206,02-07-19 20:40,65,49,62,18,17,51,57,50,24,68,38,13,30,42,2,79,54,5,47,41
754207,02-07-19 20:45,31,72,65,33,35,21,9,70,49,46,59,55,8,75,11,52,50,27,58,2
754208,02-07-19 20:50,3,51,35,36,37,52,27,8,44,20,40,65,50,5,77,69,30,56,2,47
754209,02-07-19 20:55,17,42,7,49,71,16,67,59,73,36,47,25,55,24,18,6,57,3,34,64
754210,02-07-19 21:00,8,59,61,6,46,72,1,22,26,27,18,15,67,5,4,56,41,73,58,23
754211,02-07-19 21:05,45,22,39,31,60,42,21,68,47,75,29,58,59,53,20,34,36,73,35,27
754212,02-07-19 21:10,45,42,41,25,48,55,17,64,69,72,19,54,38,75,16,43,22,1,32,71
754213,02-07-19 21:15,52,60,46,48,17,76,11,9,49,20,77,35,79,59,65,33,5,30,13,71
754214,02-07-19 21:20,60,16,29,30,14,26,33,28,15,43,41,17,68,20,42,79,49,32,45,13
754215,02-07-19 21:25,69,15,77,26,50,47,20,36,64,33,28,9,65,4,53,70,35,76,58,16
754216,02-07-19 21:30,42,68,11,62,31,50,45,9,24,70,30,60,48,38,73,57,55,27,74,28
754217,02-07-19 21:35,51,63,65,46,79,13,75,73,26,59,52,25,5,48,58,9,15,40,70,41
754218,02-07-19 21:40,65,77,39,42,17,37,31,12,4,67,27,69,52,78,71,26,62,75,1,10
754219,02-07-19 21:45,25,32,4,44,9,71,23,3,77,57,73,69,29,15,54,17,27,79,76,38
754220,02-07-19 21:50,80,68,58,77,15,7,78,38,10,52,79,26,39,48,37,59,22,13,32,53
754221,02-07-19 21:55,77,54,32,25,24,34,80,75,61,18,55,73,35,6,41,40,38,51,1,46
754222,02-07-19 22:00,44,80,74,60,78,10,42,63,53,37,32,23,64,46,16,9,67,34,38,65
754223,02-07-19 22:05,25,68,67,57,13,30,47,15,9,4,17,48,8,62,21,38,72,33,40,16
754224,02-07-19 22:10,79,5,34,59,2,26,67,54,31,32,18,12,56,19,14,11,38,4,24,15
754225,02-07-19 22:15,66,80,36,44,53,21,38,2,26,24,28,51,17,45,77,47,1,48,6,9
754226,02-07-19 22:20,29,1,41,59,50,37,49,15,24,16,3,33,25,22,26,14,76,66,20,40
754227,02-07-19 22:25,18,20,67,1,70,15,14,72,24,6,28,44,21,76,41,2,9,71,25,45
754228,02-07-19 22:30,19,20,36,61,55,8,44,78,42,67,28,11,72,54,26,43,15,25,21,34
754229,02-07-19 22:35,3,33,70,5,43,45,60,42,50,62,53,48,73,47,26,74,13,68,55,41
754230,02-07-19 22:40,38,37,49,13,46,59,56,76,61,65,28,7,31,50,23,43,5,9,66,26
754231,02-07-19 22:45,33,1,43,76,2,13,63,17,59,18,48,30,19,47,64,37,45,21,46,72
754232,02-07-19 22:50,55,76,19,39,20,77,46,64,58,41,34,63,48,43,53,27,1,15,70,60
754233,02-07-19 22:55,46,65,68,53,80,27,5,2,18,54,75,71,50,32,8,42,9,66,35,13
754234,02-07-19 23:00,38,14,78,57,51,46,18,4,33,36,31,48,74,20,65,66,73,41,43,75
754235,02-07-19 23:05,14,49,25,27,18,29,36,17,56,42,1,62,63,78,24,11,51,22,48,2
754236,02-07-19 23:10,78,21,50,80,5,36,22,75,53,64,47,48,33,40,14,55,73,16,3,57
754237,02-07-19 23:15,24,10,63,37,32,5,12,59,8,36,34,80,22,74,58,67,15,62,64,75
754238,02-07-19 23:20,57,2,51,38,12,67,48,42,23,7,40,15,3,6,11,46,27,34,20,21
754239,02-07-19 23:25,2,19,24,9,77,4,14,59,6,20,44,17,30,35,50,34,80,70,78,76
754240,02-07-19 23:30,42,20,27,39,80,69,75,62,79,1,4,37,22,21,72,8,71,2,28,56
754241,02-07-19 23:35,72,59,19,56,4,45,52,44,46,9,14,28,63,22,5,61,39,7,11,62
754242,02-07-19 23:40,37,18,69,79,75,26,34,77,32,63,54,19,6,78,1,74,49,53,60,35
754243,02-07-19 23:45,57,18,40,72,26,77,22,61,23,65,36,75,1,34,32,64,37,63,6,50
754244,02-07-19 23:50,6,42,8,3,67,20,35,41,39,62,47,51,52,18,60,70,48,4,76,78
754245,02-07-19 23:55,7,39,73,50,1,43,37,26,29,27,77,34,74,59,62,24,68,71,69,58
754246,03-07-19 9:00,29,32,72,64,53,42,55,3,10,77,45,75,58,66,17,16,65,40,20,15
754247,03-07-19 9:05,3,72,41,64,5,48,18,68,67,21,40,60,42,37,10,31,4,26,63,71
754248,03-07-19 9:10,74,26,60,65,18,25,63,31,5,44,54,77,49,57,23,48,41,51,66,28
754249,03-07-19 9:15,37,76,64,67,56,63,7,79,28,57,29,15,62,13,65,34,47,39,44,80
754250,03-07-19 9:20,51,62,3,21,76,32,53,57,49,37,78,8,2,29,44,28,63,50,38,65
754251,03-07-19 9:25,6,4,64,70,7,75,63,1,37,44,80,77,39,57,72,21,33,43,65,14
754252,03-07-19 9:30,42,56,48,59,33,76,29,22,32,51,38,16,57,13,60,21,65,63,44,28
754253,03-07-19 9:35,24,49,58,75,63,67,32,55,21,7,23,11,35,56,71,36,13,39,61,5
754254,03-07-19 9:40,8,5,75,46,58,50,78,53,18,2,76,17,66,79,15,3,52,56,7,13
754255,03-07-19 9:45,32,37,78,28,42,6,72,53,51,4,24,66,52,9,25,27,61,30,58,2
754256,03-07-19 9:50,11,14,49,13,52,24,50,15,16,73,58,59,18,30,63,43,67,62,7,40
754257,03-07-19 9:55,31,1,79,46,3,23,36,56,7,11,80,9,64,6,48,24,60,22,72,40
754258,03-07-19 10:00,55,41,47,79,25,10,13,4,29,9,78,60,32,18,35,15,3,76,73,50
754259,03-07-19 10:05,62,29,2,36,15,76,60,58,1,47,30,55,53,35,70,21,13,25,39,61
754260,03-07-19 10:10,68,66,51,29,3,61,30,78,42,28,25,60,73,32,17,46,24,69,75,48
754261,03-07-19 10:15,38,80,44,45,52,8,73,22,34,67,59,61,31,10,7,58,65,46,11,21
754262,03-07-19 10:20,4,35,39,57,59,62,7,2,30,20,9,18,49,63,3,36,66,37,26,28
754263,03-07-19 10:25,59,48,3,76,6,25,43,30,50,10,15,58,51,62,27,1,38,33,57,56
754264,03-07-19 10:30,65,20,40,37,9,39,16,61,42,34,18,80,30,64,55,13,5,52,53,32
754265,03-07-19 10:35,8,43,68,73,80,24,9,59,17,22,69,48,13,4,16,33,11,52,29,51
754266,03-07-19 10:40,35,42,29,13,60,1,3,77,9,64,63,4,24,17,32,25,66,69,30,48
754267,03-07-19 10:45,38,76,57,68,52,71,30,67,44,51,17,54,78,32,58,27,70,7,80,49
754268,03-07-19 10:50,17,41,22,32,19,54,52,13,9,76,73,74,30,6,11,60,28,51,64,34
754269,03-07-19 10:55,60,54,11,37,8,25,5,28,74,47,32,35,18,59,39,45,65,56,48,23
754270,03-07-19 11:00,23,21,13,11,15,80,47,60,25,64,18,32,14,22,17,71,65,53,3,73
754271,03-07-19 11:05,35,54,29,60,45,51,10,9,30,16,17,40,31,41,7,46,20,4,25,2
754272,03-07-19 11:10,33,75,63,57,40,53,44,47,36,17,65,46,73,56,51,69,43,4,26,77
754273,03-07-19 11:15,37,19,70,27,20,48,56,16,41,30,77,22,6,63,73,38,33,45,28,55
754274,03-07-19 11:20,79,23,33,37,66,64,26,55,9,61,2,50,65,10,70,49,20,5,43,69
754275,03-07-19 11:25,75,10,64,23,46,66,30,2,37,79,7,74,21,25,34,38,78,44,61,6
754276,03-07-19 11:30,38,48,49,13,79,54,66,50,57,22,41,35,20,18,28,52,45,68,62,42
754277,03-07-19 11:35,43,56,45,17,72,1,79,58,42,30,71,40,80,66,73,57,59,3,75,65
754278,03-07-19 11:40,72,8,18,37,36,27,26,76,34,59,10,5,60,77,16,45,2,6,51,50
754279,03-07-19 11:45,68,35,59,7,12,13,47,28,2,56,38,36,72,66,31,75,16,15,50,69
754280,03-07-19 11:50,52,18,73,17,46,1,53,21,14,75,19,55,74,22,50,47,71,11,68,48
754281,03-07-19 11:55,18,4,53,14,20,70,21,25,40,78,54,19,36,1,38,73,59,3,50,30
754282,03-07-19 12:00,1,41,43,9,27,14,77,21,44,48,37,24,8,28,36,60,66,10,29,33
754283,03-07-19 12:05,17,57,55,63,10,80,31,42,41,73,72,45,38,40,75,8,61,2,56,19
754284,03-07-19 12:10,60,11,26,8,6,58,36,45,29,31,72,55,9,76,2,38,3,23,54,56
754285,03-07-19 12:15,24,74,12,36,44,57,30,3,14,5,65,7,63,38,54,34,46,39,1,9
754286,03-07-19 12:20,34,76,38,65,42,17,48,51,24,63,27,77,56,43,2,25,49,8,39,33
754287,03-07-19 12:25,19,31,80,52,24,55,29,22,53,43,79,33,45,17,56,21,39,11,51,46
754288,03-07-19 12:30,1,48,61,13,20,36,52,35,33,26,12,45,65,32,4,58,79,49,75,2
754289,03-07-19 12:35,75,39,18,43,14,80,53,37,26,36,6,77,24,29,27,1,68,9,58,12
754290,03-07-19 12:40,23,54,47,30,25,72,78,22,45,17,7,76,74,49,66,55,20,75,27,12
754291,03-07-19 12:45,57,5,16,47,8,61,59,72,44,27,23,39,20,66,28,42,74,52,26,69
754292,03-07-19 12:50,48,47,67,24,54,9,50,5,31,76,43,39,35,19,42,57,80,36,70,45
754293,03-07-19 12:55,51,46,59,71,11,2,24,37,54,74,40,25,6,65,80,8,29,5,67,55
754294,03-07-19 13:00,40,20,13,48,39,36,17,24,23,18,69,38,61,41,59,65,45,66,8,12
754295,03-07-19 13:05,57,24,23,27,79,72,22,73,69,49,50,45,58,78,33,46,28,1,38,61
754296,03-07-19 13:10,38,70,40,43,71,32,68,67,73,64,15,26,77,37,49,29,69,47,79,16
754297,03-07-19 13:15,72,8,23,67,1,79,49,19,50,80,73,76,13,75,33,39,10,29,61,55
754298,03-07-19 13:20,75,13,53,80,79,27,45,22,61,59,3,6,65,73,2,7,60,76,68,34
754299,03-07-19 13:25,11,74,45,17,56,22,1,54,4,51,19,34,27,24,38,16,42,2,65,64
754300,03-07-19 13:30,63,5,78,13,74,12,60,42,33,9,1,53,31,80,19,27,2,15,75,21
754301,03-07-19 13:35,19,8,22,76,59,35,48,54,30,12,71,60,32,62,9,80,73,16,63,10
754302,03-07-19 13:40,19,17,53,7,62,21,4,63,18,1,76,31,48,69,78,65,15,6,36,29
754303,03-07-19 13:45,57,60,40,75,18,64,71,30,5,11,33,13,10,12,52,59,55,43,67,80
754304,03-07-19 13:50,54,38,29,9,16,22,45,47,59,5,48,73,30,51,66,33,78,8,35,7
754305,03-07-19 13:55,73,27,66,68,54,75,34,47,5,51,78,64,24,4,42,62,2,11,57,20
754306,03-07-19 14:00,25,42,62,11,21,58,44,51,5,3,20,65,27,48,14,72,13,80,60,1
754307,03-07-19 14:05,72,24,67,45,14,41,53,22,73,32,37,20,74,2,64,10,57,4,18,15
754308,03-07-19 14:10,36,12,48,39,10,20,54,35,46,29,9,38,11,15,2,60,45,7,41,66
754309,03-07-19 14:15,63,25,29,19,59,36,56,43,52,47,31,41,53,75,28,30,8,62,57,64
754310,03-07-19 14:20,2,17,63,46,21,80,28,22,13,72,52,34,18,3,40,73,65,23,24,5
754311,03-07-19 14:25,60,75,26,65,38,33,7,72,50,80,69,64,14,53,76,8,9,58,63,39
754312,03-07-19 14:30,67,4,17,11,40,31,71,5,27,18,41,77,47,68,33,72,51,66,54,78
754313,03-07-19 14:35,74,29,26,51,79,40,80,64,30,33,2,55,52,22,49,15,44,36,43,14
754314,03-07-19 14:40,20,33,78,43,32,80,63,51,17,53,69,27,54,14,71,41,35,77,60,28
754315,03-07-19 14:45,43,65,67,58,26,14,77,2,78,5,79,18,53,34,71,52,36,33,48,13
754316,03-07-19 14:50,25,51,55,65,32,79,27,18,10,24,60,5,78,2,42,67,62,1,71,47
754317,03-07-19 14:55,34,16,28,31,40,53,5,24,55,58,17,20,70,77,68,60,12,38,48,35
754318,03-07-19 15:00,73,17,34,41,77,15,58,33,40,30,64,67,26,27,9,10,44,43,55,16
754319,03-07-19 15:05,8,50,4,14,58,3,46,49,43,18,27,75,62,59,13,2,52,63,54,36
754320,03-07-19 15:10,19,45,64,37,9,75,25,34,16,32,68,73,28,58,70,50,4,42,12,38
754321,03-07-19 15:15,58,55,64,78,42,22,9,65,23,70,50,69,63,39,41,32,62,6,76,48
754322,03-07-19 15:20,40,23,9,66,27,47,12,21,50,41,7,57,19,80,71,61,24,1,53,36
754323,03-07-19 15:25,22,65,27,70,31,20,55,63,9,80,24,41,34,19,12,76,40,37,77,36
754324,03-07-19 15:30,17,18,53,25,59,16,75,55,21,11,34,58,69,47,38,45,49,70,63,35
754325,03-07-19 15:35,77,8,63,60,30,32,34,21,42,44,52,25,73,66,71,58,11,1,49,37
754326,03-07-19 15:40,76,46,42,26,45,77,50,53,44,68,17,25,14,59,71,75,62,9,78,51
754327,03-07-19 15:45,10,63,77,9,41,62,29,31,52,57,14,73,8,1,36,78,64,22,4,16
754328,03-07-19 15:50,27,80,48,3,77,71,57,41,62,67,53,21,33,63,22,32,51,23,54,75
754329,03-07-19 15:55,69,73,75,10,18,32,67,47,46,5,51,26,57,36,50,41,22,7,58,14
754330,03-07-19 16:00,68,49,15,23,19,61,79,65,58,24,76,26,30,43,66,54,63,56,2,39
754331,03-07-19 16:05,32,30,69,58,10,21,51,8,25,54,73,27,16,48,47,40,76,13,75,68
754332,03-07-19 16:10,38,35,3,51,50,44,48,64,16,58,18,39,10,75,14,34,69,31,70,29
754333,03-07-19 16:15,53,70,73,36,38,11,1,10,24,18,77,48,17,43,79,76,37,25,31,22
754334,03-07-19 16:20,52,61,55,58,24,17,30,16,78,22,44,68,59,64,25,69,4,2,73,80
754335,03-07-19 16:25,58,54,14,10,39,48,47,65,4,80,46,69,70,23,34,76,57,67,60,51
754336,03-07-19 16:30,79,18,19,42,44,71,65,14,43,9,80,46,73,76,69,2,5,38,13,78
754337,03-07-19 16:35,33,56,52,15,6,5,17,23,2,55,73,58,7,50,79,57,72,24,11,34
754338,03-07-19 16:40,14,34,56,70,54,22,31,44,79,20,3,23,63,78,75,24,1,15,77,51
754339,03-07-19 16:45,13,2,38,73,17,16,9,71,43,61,77,14,50,79,12,42,29,62,53,65
754340,03-07-19 16:50,42,69,17,11,31,53,78,9,76,80,64,60,54,39,4,44,70,66,1,32
754341,03-07-19 16:55,35,60,38,40,2,22,12,7,49,25,51,65,31,75,34,68,50,4,42,61
754342,03-07-19 17:00,35,28,14,17,33,32,10,71,5,68,1,76,73,11,27,2,40,41,69,65
754343,03-07-19 17:05,76,25,29,26,49,64,1,66,56,17,53,59,77,15,11,58,78,3,44,70
754344,03-07-19 17:10,37,11,68,45,2,23,69,63,41,35,8,1,5,33,76,26,55,65,16,64
754345,03-07-19 17:15,56,55,7,4,66,57,35,9,47,54,13,3,67,53,45,14,48,39,31,30
754346,03-07-19 17:20,20,1,56,60,40,66,51,30,64,57,11,41,50,63,4,42,72,5,68,22
754347,03-07-19 17:25,72,71,40,79,77,63,52,34,54,3,68,20,66,35,15,73,57,26,8,11
754348,03-07-19 17:30,59,78,23,8,28,9,48,34,35,7,50,80,56,70,58,12,71,65,2,37
754349,03-07-19 17:35,41,3,15,34,14,2,70,27,72,46,13,55,59,78,16,22,54,79,48,28
754350,03-07-19 17:40,38,14,42,77,17,74,13,51,59,72,62,2,26,75,33,44,9,39,73,41
754351,03-07-19 17:45,26,36,49,74,45,79,5,60,4,15,63,31,67,20,22,33,48,77,54,76
754352,03-07-19 17:50,25,71,66,50,15,8,26,34,49,68,55,63,64,65,67,77,21,41,38,56
754353,03-07-19 17:55,62,10,65,9,26,18,79,19,37,64,57,68,7,8,76,44,51,4,80,40
754354,03-07-19 18:00,56,15,44,74,46,60,19,16,1,58,59,75,31,22,2,36,48,72,10,30
754355,03-07-19 18:05,60,16,42,63,29,47,13,65,28,64,53,12,67,77,19,18,62,9,38,21
754356,03-07-19 18:10,61,74,76,9,53,57,32,38,22,37,59,34,55,79,45,4,10,43,15,73
754357,03-07-19 18:15,14,56,41,11,51,69,30,59,19,20,7,64,12,18,50,21,17,75,38,78
754358,03-07-19 18:20,74,78,16,71,76,68,57,28,61,63,17,39,2,25,50,45,38,64,58,12
754359,03-07-19 18:25,29,50,78,35,69,3,21,30,22,76,43,32,13,38,48,6,59,67,52,12
754360,03-07-19 18:30,41,44,80,51,31,43,52,28,8,36,3,6,73,9,56,42,24,70,48,38
754361,03-07-19 18:35,24,19,43,47,16,67,53,25,31,50,29,1,63,49,60,61,62,71,36,51
754362,03-07-19 18:40,17,53,73,65,29,51,11,79,66,64,32,30,26,3,41,75,14,62,67,78
754363,03-07-19 18:45,45,44,64,69,78,27,61,30,6,20,41,4,60,23,1,51,25,63,62,65
754364,03-07-19 18:50,50,10,67,59,33,11,63,32,4,28,43,45,42,19,62,8,12,31,2,47
754365,03-07-19 18:55,48,76,39,45,38,34,42,4,26,49,8,78,35,65,7,63,57,72,15,62
754366,03-07-19 19:00,1,10,37,28,80,61,13,8,74,18,48,77,68,53,6,65,31,72,16,9
754367,03-07-19 19:05,66,16,74,67,13,63,8,78,37,68,55,59,39,49,58,54,38,44,60,9
754368,03-07-19 19:10,53,72,44,30,21,76,77,57,40,14,36,33,4,22,71,65,10,7,37,25
754369,03-07-19 19:15,47,80,48,27,67,51,15,6,76,54,26,24,68,3,37,52,62,38,42,5
754370,03-07-19 19:20,38,30,67,75,54,70,36,22,80,15,60,7,49,77,48,23,24,71,45,62
754371,03-07-19 19:25,3,29,23,18,74,55,27,63,61,39,40,2,20,56,57,41,45,8,68,78
754372,03-07-19 19:30,60,33,21,41,54,18,30,78,72,32,74,40,12,24,17,43,39,46,76,68
754373,03-07-19 19:35,34,24,44,23,73,68,27,72,36,37,51,8,70,39,47,5,45,43,79,28
754374,03-07-19 19:40,44,73,72,7,64,49,1,61,74,66,12,13,53,32,75,71,18,29,50,42
754375,03-07-19 19:45,15,33,38,79,2,44,7,75,52,64,21,18,12,59,47,25,35,72,51,45
754376,03-07-19 19:50,49,26,50,34,9,24,54,25,19,58,28,80,61,75,44,53,48,2,10,62
754377,03-07-19 19:55,18,49,31,22,11,37,48,55,12,70,27,42,74,23,69,63,36,45,53,29
754378,03-07-19 20:00,68,18,50,49,34,54,36,76,66,20,77,1,6,64,31,78,12,63,45,48
754379,03-07-19 20:05,78,34,14,63,59,32,57,43,42,21,70,50,46,9,51,16,80,29,13,65
754380,03-07-19 20:10,79,75,20,43,28,33,9,1,71,68,67,62,48,69,19,35,11,58,10,16
754381,03-07-19 20:15,35,50,31,53,74,51,19,13,28,61,16,46,79,52,66,25,67,78,62,24
754382,03-07-19 20:20,46,59,17,32,65,71,56,37,48,9,69,14,39,75,23,1,21,25,7,31
754383,03-07-19 20:25,65,70,19,76,61,80,33,54,43,21,23,34,30,8,71,35,60,46,47,3
754384,03-07-19 20:30,63,10,27,45,15,12,54,53,11,8,64,79,33,72,49,23,76,44,71,5
754385,03-07-19 20:35,47,15,4,75,77,18,13,71,69,64,33,1,12,23,48,27,38,57,10,43
754386,03-07-19 20:40,21,1,64,17,22,20,78,38,37,52,6,70,65,4,19,12,48,80,10,2
754387,03-07-19 20:45,58,77,39,33,62,5,7,8,31,66,36,20,37,27,43,17,11,78,40,52
754388,03-07-19 20:50,79,3,22,57,33,69,46,21,28,27,61,36,14,43,1,7,74,16,12,30
754389,03-07-19 20:55,78,30,65,1,70,6,60,28,27,77,64,24,20,16,53,10,15,59,40,12
754390,03-07-19 21:00,68,4,52,50,21,65,62,46,60,7,24,6,40,78,48,47,28,42,12,72
754391,03-07-19 21:05,71,77,42,70,9,26,75,52,25,19,54,40,79,32,57,36,43,2,38,33
754392,03-07-19 21:10,3,37,72,66,79,34,7,58,47,43,77,26,13,33,46,41,69,10,73,63
754393,03-07-19 21:15,75,16,1,42,30,62,69,52,22,71,13,7,32,79,9,63,6,55,51,35
754394,03-07-19 21:20,56,54,51,80,32,34,44,39,70,57,64,31,36,30,2,43,6,35,50,18
754395,03-07-19 21:25,42,70,69,34,53,11,4,16,41,38,36,20,26,30,18,48,21,22,12,72
754396,03-07-19 21:30,47,46,35,64,27,4,78,62,77,7,5,36,49,74,76,22,11,21,73,10
754397,03-07-19 21:35,13,9,11,51,15,35,31,8,58,45,32,49,18,70,3,67,28,2,37,29
754398,03-07-19 21:40,11,21,61,6,19,55,74,70,4,71,41,29,50,33,30,43,54,68,79,76
754399,03-07-19 21:45,38,25,17,22,6,8,30,72,59,15,75,79,35,56,69,66,52,80,78,3
754400,03-07-19 21:50,11,14,26,23,52,40,7,65,4,63,66,39,12,33,57,48,17,50,28,68
754401,03-07-19 21:55,23,45,73,22,17,69,14,47,59,72,36,20,52,54,10,31,34,77,24,29
754402,03-07-19 22:00,74,13,40,71,11,63,41,27,47,3,75,5,61,78,65,67,19,49,48,9
754403,03-07-19 22:05,39,7,34,45,1,70,67,24,38,49,78,29,53,68,52,26,58,71,48,50
754404,03-07-19 22:10,30,3,68,29,63,38,8,54,42,5,36,23,35,25,53,19,52,71,33,32
754405,03-07-19 22:15,76,19,20,38,45,74,27,60,35,80,6,52,1,3,13,22,71,72,70,30
754406,03-07-19 22:20,41,53,38,66,78,11,3,17,37,68,4,15,1,69,51,25,26,71,48,30
754407,03-07-19 22:25,78,8,59,58,47,79,56,3,12,4,54,68,72,45,60,74,27,5,63,36
754408,03-07-19 22:30,2,14,24,1,9,18,56,75,60,35,34,25,15,78,73,77,37,40,66,13
754409,03-07-19 22:35,30,29,10,47,78,70,35,2,31,63,55,57,80,20,16,32,18,12,43,64
754410,03-07-19 22:40,18,51,5,24,26,1,42,23,39,74,78,62,34,2,4,53,8,11,61,60
